# CutterNest Piezas v1
# Ejemplo de base de cama con cajones
# Base de cama matrimonial 1500×1900×350 de melamina 18 mm (mueble que soporta carga): estructura global con cabecero 1500×600, 2 montantes de cabecero, tablero frontal 1500×300, tarima de somier 1500×1850 y 10 láminas de somier transversales de 130×25×8 mm con separación 60 mm, y dos cajoneras largas de 400×350×1850 con 2 cajones de 6 piezas cada una. Herrajes: 4 pares de correderas telescópicas, 8 esquineros metálicos de unión, soporte central de tarima y zapatas niveladoras.
id,nombre,ancho,alto,cantidad,rotate,color,espesor,cantos,modulo
m2-lateral-der,Lateral derecho M2,1850,350,1,no,#C19A6B,18,"T,B,R",2
m2-fondo,Fondo modulo M2,400,350,1,no,#F2F2F2,18,"",2
m21-cajon-frente,Frente cajon largo superior M2,362,147,1,si,#8B5A2B,15,"T,B,L,R",21
m21-cajon-lateral-izq,Lateral cajon largo superior M2,1795,117,1,no,#D9C2A3,15,"T,B,L",21
m21-cajon-lateral-der,Lateral cajon largo superior M2,1795,117,1,no,#D9C2A3,15,"T,B,R",21
m21-cajon-fondo,Fondo cajon largo superior M2,309,102,1,no,#F2F2F2,15,,21
m21-cajon-cara,Cara cajon largo superior M2,309,117,1,no,#D9C2A3,15,"T,B,L,R",21
m21-cajon-base,Base cajon largo superior M2,309,1795,1,si,#D9C2A3,15,"T,B,L,R",21
m21-cajon-tirador,Tirador cajon largo superior M2,2,20,1,no,#A0A0A0,5,,21
m22-cajon-frente,Frente cajon largo inferior M2,362,147,1,si,#8B5A2B,15,"T,B,L,R",22
m22-cajon-lateral-izq,Lateral cajon largo inferior M2,1795,117,1,no,#D9C2A3,15,"T,B,L",22
m22-cajon-lateral-der,Lateral cajon largo inferior M2,1795,117,1,no,#D9C2A3,15,"T,B,R",22
m22-cajon-fondo,Fondo cajon largo inferior M2,309,102,1,no,#F2F2F2,15,,22
m22-cajon-cara,Cara cajon largo inferior M2,309,117,1,no,#D9C2A3,15,"T,B,L,R",22
m22-cajon-base,Base cajon largo inferior M2,309,1795,1,si,#D9C2A3,15,"T,B,L,R",22
m22-cajon-tirador,Tirador cajon largo inferior M2,2,20,1,no,#A0A0A0,5,,22
